Date,Type,Name,Category,Money Out,Money In
01/07/2026,Card payment,COSTA COFFEE LONDON,Eating out,3.99,0.00
02/07/2026,Card payment,TESCO STORES 3421,Groceries,42.50,0.00
03/07/2026,Direct Debit,MONTHLY RENT PAYMENT,Bills,1250.00,0.00
04/07/2026,Faster payment,ACME LTD SALARY,Income,0.00,2500.00
05/07/2026,Card payment,NETFLIX.COM,Entertainment,8.99,0.00
06/07/2026,Card payment,BLUEBIRD KIOSK 22,General,2.40,0.00
07/07/2026,Pot transfer,Savings Pot,Transfers,100.00,0.00
08/07/2026,Card payment,SAINSBURYS LOCAL 4412,Groceries,18.75,0.00
09/07/2026,Card payment,TFL TRAVEL CHARGE,Transport,7.60,0.00
10/07/2026,Direct Debit,THAMES WATER UTILITIES,Bills,32.14,0.00
11/07/2026,Card payment,SPOTIFY PREMIUM,Entertainment,11.99,0.00
12/07/2026,Card payment,BOOTS THE CHEMIST 88,Shopping,9.45,0.00
13/07/2026,Card payment,GREGGS 1123 EUSTON,Eating out,4.20,0.00
14/07/2026,Direct Debit,VODAFONE LIMITED,Bills,24.00,0.00
15/07/2026,Card payment,AMAZON MARKETPLACE UK,Shopping,56.30,0.00
16/07/2026,Card payment,PRET A MANGER 771,Eating out,6.85,0.00
17/07/2026,Faster payment,HMRC TAX REBATE,Income,0.00,142.60
18/07/2026,Card payment,SHELL FILLING STATION,Transport,61.02,0.00
19/07/2026,Card payment,ODEON CINEMAS 4,Entertainment,14.50,0.00
20/07/2026,Direct Debit,BRITISH GAS ENERGY,Bills,78.44,0.00
21/07/2026,Card payment,WAITROSE AND PARTNERS 12,Groceries,63.18,0.00
22/07/2026,Card payment,NANDOS PECKHAM RYE,Eating out,27.40,0.00
